CCLE Cell Line Name,Primary Cell Line Name,Compound,Target,IC50 (uM)
RT4_URINARY_TRACT,RT4,Nilotinib,ABL,8.0
RVH421_SKIN,RVH-421,Nilotinib,ABL,8.0
SAOS2_BONE,Saos-2,Nilotinib,ABL,5.712678432
SBC5_LUNG,SBC-5,Nilotinib,ABL,8.0
SCABER_URINARY_TRACT,SCaBER,Nilotinib,ABL,8.0
SF126_CENTRAL_NERVOUS_SYSTEM,SF126,Nilotinib,ABL,8.0
SF295_CENTRAL_NERVOUS_SYSTEM,SF-295,Nilotinib,ABL,8.0
SF8657,SF8657,Nilotinib,ABL,8.0
SH10TC_STOMACH,SH-10-TC,Nilotinib,ABL,7.97711277
SHP77_LUNG,SHP-77,Nilotinib,ABL,8.0
SIGM5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SIG-M5,Nilotinib,ABL,1.649600863
SIMA_AUTONOMIC_GANGLIA,SIMA,Nilotinib,ABL,8.0
SJRH30_SOFT_TISSUE,SJRH30,Nilotinib,ABL,8.0
SKBR3_BREAST,SK-BR-3,Nilotinib,ABL,8.0
SKCO1_LARGE_INTESTINE,SK-CO-1,Nilotinib,ABL,0.15920667
SKES1_BONE,SK-ES-1,Nilotinib,ABL,8.0
SKHEP1_LIVER,SK-HEP-1,Nilotinib,ABL,8.0
SKLU1_LUNG,SK-LU-1,Nilotinib,ABL,8.0
